Team,Position,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Non-penalty goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Distance,Club Fit %,League,League Strength,Adjusted Fit %,Avg Team Market Value,Final Fit %
Cercle Brugge,"CF, LWF",3.14,10.4,28.22,3.21,0.1,0.45,2.32,48.89,4.444,1.24,8.33,2.42,38.3,11.22,3.5,1.18,0.05,11.95,65.09,0.06,0.15,0.21,1.03,0.98,31.58,0.46,9.526083074196201,66.08,Belgium 1.,68.57,62.038679359999996,6333333.333333333,70.56993269485714
Charleroi,CF,3.03,6.436666666666667,25.383333333333336,1.9833333333333334,0.2833333333333334,0.39666666666666667,1.9733333333333334,48.63333333333333,13.755,0.45,45.0,1.5566666666666666,54.01,7.489999999999999,3.61,0.6166666666666667,0.043333333333333335,18.27333333333333,80.14333333333333,0.056666666666666664,0.043333333333333335,0.26666666666666666,1.4966666666666668,0.6233333333333334,55.553333333333335,0.5433333333333333,9.544611424500365,65.96,Belgium 1.,68.57,61.92601832,1183333.3333333333,58.348212823999994
Chelsea,CF,3.1,2.49,36.36,1.91,0.38,0.56,2.68,47.89,14.085,0.34,11.11,2.04,57.41,7.37,4.5,1.74,0.38,14.4,79.27,0.09,0.23,0.45,1.21,0.64,58.82,0.72,8.543562955888802,72.35,England 1.,100.0,53.68369999999999,50000000.0,52.57858999999999
Chelsea,"CF, LAMF",3.35,3.35,36.59,2.61,0.25,0.31,1.63,55.0,15.0,0.49,16.67,1.88,43.48,7.19,3.76,1.88,0.41,26.49,91.98,0.14,0.0,0.41,1.96,0.9,54.55,1.23,10.309702161121843,61.07,England 1.,100.0,45.31393999999999,50000000.0,46.719757999999985
Club Brugge,CF,5.02,5.715,43.019999999999996,2.2,0.495,0.64,2.895,46.315,18.765,0.76,44.230000000000004,1.655,53.845,8.79,4.975,0.9199999999999999,0.10500000000000001,15.575,73.38999999999999,0.09,0.095,0.42000000000000004,1.835,0.9199999999999999,50.0,0.985,7.0804086591828925,81.69,Belgium 1.,68.57,76.69400298,5100000.0,75.54294494314286
Club Brugge,"CF, LAMF",2.8,3.18,27.94,2.31,0.47,0.49,3.5,44.0,13.333,1.26,44.44,3.6,61.04,8.08,6.45,1.96,0.47,29.21,81.76,0.12,0.19,0.75,1.54,1.78,60.53,1.59,11.09991843371286,56.03,Belgium 1.,68.57,52.60331726,5100000.0,58.679464939142846
Como,CF,3.5966666666666662,5.016666666666667,32.22666666666667,1.8933333333333333,0.28,0.36333333333333334,2.2666666666666666,32.81666666666667,12.859,1.09,26.743333333333336,1.7966666666666669,70.30333333333333,9.336666666666666,4.18,0.77,0.08333333333333333,15.466666666666667,77.75666666666666,0.10666666666666667,0.05666666666666667,0.26,1.0933333333333333,1.0466666666666666,41.34,0.6166666666666667,10.449258618474904,60.18,Italy 1.,97.14,44.65355999999999,5333333.333333333,54.114634857142846
Coventry City,CF,2.615,6.0600000000000005,27.18,1.7349999999999999,0.195,0.38,1.665,48.75,11.678,1.005,30.515,1.29,44.245000000000005,6.7,3.3499999999999996,1.2,0.215,8.35,63.015,0.02,0.065,0.08,0.605,0.62,45.0,0.305,11.313048163301367,54.67,England 2.,71.43,49.669116419999995,4625000.0,54.589810065428566
Coventry City,"CF, LAMF",3.3,5.175,35.185,2.59,0.315,0.38,2.355,33.995,14.122,1.5899999999999999,32.275,3.55,58.355000000000004,9.535,4.215,1.935,0.325,13.48,72.705,0.10500000000000001,0.1,0.4,0.765,1.215,47.53,0.5800000000000001,8.98762280144277,69.51,England 2.,71.43,63.151642259999996,4625000.0,64.02757815342856
Crystal Palace,CF,1.78,5.54,32.77,1.37,0.38,0.33,1.88,50.0,23.333,1.0,21.88,1.78,64.91,9.02,2.85,1.28,0.19,12.71,73.65,0.08,0.34,0.34,1.38,1.13,50.0,0.66,10.804096643829489,57.92,England 1.,100.0,42.976639999999996,25000000.0,45.083648
