Team,Position,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Non-penalty goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Distance,Club Fit %,League,League Strength,Adjusted Fit %,Avg Team Market Value,Final Fit %
Talleres Córdoba,CF,1.84,7.57,48.57,2.43,0.0,0.13,1.95,38.89,0.0,0.65,66.67,1.19,36.36,5.52,2.49,0.11,0.0,16.66,70.13,0.13,0.32,0.43,1.73,1.3,41.67,0.76,9.621329789665515,70.63,Argentina 1.,71.43,67.20524276169265,3000000.0,65.48471848552339
Talleres Córdoba,"CF, LAMF",2.68,1.83,40.0,2.86,0.0,0.37,2.56,33.33,0.0,0.37,0.0,0.98,50.0,5.37,3.17,0.61,0.37,14.88,76.23,0.01,0.0,0.12,0.49,0.98,50.0,0.49,7.187457933360415,78.06,Argentina 1.,71.43,74.27497168310532,3000000.0,71.8474745147948
Tigre,CF,2.77,7.35,34.21,1.93,0.32,0.45,2.06,46.88,15.625,1.29,25.0,1.29,55.0,10.96,3.87,0.84,0.13,16.83,64.75,0.11,0.19,0.32,1.55,0.97,20.0,0.45,7.323706188081157,77.64,Argentina 1.,71.43,73.87533693923004,0.0,71.48780324530703
Torino,CF,2.11,5.510000000000001,30.88,1.75,0.28,0.32,1.8666666666666665,38.66,14.546,0.3733333333333333,43.59,1.47,47.53666666666667,7.3566666666666665,3.1733333333333333,0.4566666666666666,0.043333333333333335,16.173333333333332,76.72666666666667,0.04666666666666667,0.06333333333333334,0.2933333333333333,1.7633333333333334,0.62,34.39333333333334,0.5,7.052484054432922,78.47,Italy 1.,97.14,76.69445084632517,6500000.0,75.52500576169265
Torino,"CF, LW, LAMF",2.33,1.47,21.05,2.25,0.0,0.19,1.86,25.0,0.0,2.09,18.52,4.96,39.06,12.79,3.18,2.87,0.47,21.32,69.09,0.03,0.31,0.23,1.32,2.02,50.0,0.78,12.208853057472519,62.73,Italy 1.,97.14,61.310601524021635,6500000.0,61.67954137161947
Torino,"CF, LW, LCMF",5.04,7.18,35.14,3.08,0.19,0.31,1.75,55.56,11.111,1.36,28.57,3.49,44.44,11.06,2.52,1.94,0.19,16.49,72.94,0.1,0.0,0.39,1.16,1.55,62.5,0.39,8.663531281259226,73.55,Italy 1.,97.14,71.88577621699015,6500000.0,71.19719859529114
Tottenham Hotspur,CF,2.945,4.86,34.24,2.715,0.46499999999999997,0.47,2.1550000000000002,46.364999999999995,21.683500000000002,0.775,25.0,1.995,32.769999999999996,8.370000000000001,3.7,1.05,0.395,12.465,73.465,0.065,0.305,0.21000000000000002,1.31,0.905,59.644999999999996,0.625,4.759927788092805,85.47,England 1.,100.0,81.56573040000002,39000000.0,78.40915736000002
Toulouse,CF,3.2,6.71,29.37,1.4,0.27,0.36,2.08,48.72,12.821,0.27,20.0,0.69,69.23,5.33,3.25,0.59,0.16,12.14,76.75,0.06,0.0,0.16,1.22,0.64,58.33,0.64,8.604764159727411,73.73,France 1.,91.43,73.28272499734862,2650000.0,70.95445249761376
Toulouse,"CF, LWF",3.53,4.68,31.91,1.97,0.3,0.39,2.29,45.65,13.043,0.8,6.25,3.43,49.28,10.5,4.18,1.54,0.3,17.26,75.79,0.07,0.0,0.25,1.74,1.04,66.67,0.9,7.721807480206139,76.43,France 1.,91.43,75.96634574186022,2650000.0,73.3697111676742
Udinese,CF,2.783333333333333,5.2,33.13,1.5899999999999999,0.18000000000000002,0.26666666666666666,1.75,29.373333333333335,10.041666666666666,0.6066666666666667,11.11,1.62,44.06666666666666,10.483333333333334,3.2466666666666666,0.85,0.16333333333333333,19.136666666666667,78.49333333333333,0.05333333333333334,0.21000000000000005,0.10000000000000002,2.31,0.9433333333333334,44.580000000000005,0.5966666666666667,8.057226735053959,75.4,Italy 1.,97.14,73.6939160674515,4200000.0,71.32452446070634
Udinese,"CF, AMF",3.98,4.86,29.55,1.62,0.22,0.09,1.33,25.0,16.667,0.55,20.0,2.65,45.83,7.96,1.22,1.0,0.33,19.79,82.12,0.03,0.0,0.11,1.77,1.0,55.56,0.55,11.633726602941588,64.48,Italy 1.,97.14,63.02100408526886,4200000.0,61.71890367674198
Udinese,"CF, RWF, RW",2.65,0.65,26.67,0.91,0.3,0.44,2.31,52.83,15.094,5.09,34.19,7.39,58.24,14.05,2.96,3.78,0.91,31.54,72.0,0.21,0.3,0.61,4.09,5.39,46.77,1.22,18.577169656207623,43.29,Italy 1.,97.14,42.31047250079542,4200000.0,43.07942525071588
Union Berlin,CF,3.12,9.53,41.405,1.81,0.27,0.43,2.0300000000000002,37.035,12.963,0.27,25.0,0.635,43.75,7.965,3.12,0.225,0.045,14.06,74.13,0.04,0.09,0.09,1.175,0.45,20.0,0.36,5.084103933752433,84.48,Germany 1.,94.29,84.48,3500000.0,81.03200000000001
Union Berlin,"CF, AMF, LWF",4.65,3.82,24.35,2.24,0.3,0.29,2.36,32.39,12.676,3.02,24.18,5.88,53.67,15.01,3.85,3.12,1.23,21.21,70.42,0.08,0.27,0.4,1.2,2.76,42.17,0.9,13.826900388072236,57.79,Germany 1.,94.29,57.79,3500000.0,57.011
Union Berlin,"CF, AMF, RWF",3.62,3.69,26.42,2.08,0.0,0.14,1.39,30.0,0.0,2.36,44.12,1.6,47.83,6.33,2.43,1.04,0.49,23.93,71.8,0.06,0.07,0.49,1.18,2.36,50.0,0.42,11.519325006630298,64.83,Germany 1.,94.29,64.83000000000001,3500000.0,63.347000000000016
Unión Santa Fe,CF,3.0475000000000003,6.717499999999999,28.665,2.13,0.11,0.33,2.5875,35.644999999999996,4.226,2.1999999999999997,39.1125,1.945,58.3775,7.86,4.065,0.8574999999999999,0.1975,19.6975,74.41499999999999,0.0925,0.13,0.41500000000000004,1.185,2.1825,46.01,0.9425,9.327295541777557,71.52,Argentina 1.,71.43,68.05208781419026,225000.0,66.24687903277123
Valencia,CF,3.26,6.03,32.916666666666664,1.7133333333333332,0.35333333333333333,0.39333333333333337,1.8166666666666667,36.26,20.649333333333335,0.27666666666666667,51.666666666666664,1.5466666666666669,50.99,7.59,3.3066666666666666,0.49333333333333335,0.2133333333333333,13.136666666666665,76.91333333333334,0.02,0.05333333333333334,0.09999999999999999,0.9333333333333332,0.39999999999999997,48.333333333333336,0.3433333333333333,6.590076979757702,79.88,Spain 1.,94.29,79.88,7425000.0,79.317
Valencia,"CF, RW, LW",3.69,4.53,25.58,3.03,0.11,0.3,2.63,28.0,4.0,0.95,55.56,0.84,37.5,4.43,2.53,0.95,0.11,21.18,72.14,0.06,0.11,0.32,2.11,0.95,55.56,0.11,8.596607316928226,73.76,Spain 1.,94.29,73.76000000000002,7425000.0,73.80900000000001
Vasco da Gama,CF,2.05,6.07,48.39,2.45,0.68,0.46,2.64,29.63,25.926,0.2,0.0,0.29,33.33,3.91,3.62,0.1,0.0,9.68,80.81,0.01,0.0,0.1,0.2,0.2,0.0,0.29,6.386923773611102,80.5,Brazil 1.,82.86,78.54832962138084,750000.0,75.69349665924277
Venezia,CF,2.476,6.008,28.496,1.7420000000000002,0.134,0.28200000000000003,1.484,39.69,12.296,0.666,25.282,1.8059999999999998,49.834,7.848000000000001,2.69,0.984,0.152,17.482,71.728,0.06799999999999999,0.142,0.18,1.6300000000000001,1.1780000000000002,45.524,0.6759999999999999,8.00403962608235,75.56,Italy 1.,97.14,73.8502957301941,2466666.6666666665,71.4652661571747
Venezia,"CF, RWF, AMF",4.15,2.17,22.03,1.28,0.11,0.17,1.51,26.83,7.317,2.13,36.21,4.96,52.59,16.05,2.76,2.57,0.7,15.65,73.94,0.08,0.04,0.44,1.73,2.17,54.24,0.99,12.954060680927993,60.45,Italy 1.,97.14,59.082191329939555,2466666.6666666665,58.1739721969456
Villarreal,CF,3.1733333333333333,3.8633333333333333,49.71333333333333,2.046666666666667,0.38000000000000006,0.48,2.566666666666667,44.333333333333336,19.098,0.7966666666666667,42.06333333333333,3.0700000000000003,54.98,9.12,3.9933333333333336,1.72,0.5133333333333333,18.82,77.26,0.12666666666666668,0.3499999999999999,0.47333333333333333,2.8333333333333335,1.8166666666666667,65.89666666666666,1.1633333333333333,9.197369385837188,71.92,Spain 1.,94.29,71.92,6375000.0,71.10300000000001
Villarreal,"CF, RW",3.41,2.11,30.77,1.89,0.16,0.24,1.89,45.71,8.571,1.57,31.03,4.59,55.29,11.95,4.16,3.35,0.76,31.3,83.25,0.21,0.11,0.81,1.62,2.43,75.56,2.43,16.207583732499106,50.52,Spain 1.,94.29,50.52,6375000.0,51.843
Vitória,"CF, LW",5.13,4.68,30.95,1.79,0.11,0.16,1.0,33.33,11.111,0.56,0.0,2.68,58.33,10.48,1.67,1.67,0.33,14.28,75.0,0.02,0.0,0.0,0.67,0.78,14.29,0.67,11.394553389390241,65.21,Brazil 1.,82.86,63.62902577155584,0.0,62.26612319440026
Vitória Guimarães,CF,2.0533333333333332,7.696666666666666,33.92666666666667,1.2666666666666666,0.30333333333333334,0.4066666666666667,2.4766666666666666,33.690000000000005,14.665333333333335,0.6533333333333333,10.666666666666666,1.54,48.86666666666667,7.816666666666667,3.456666666666667,0.47333333333333333,0.0,11.15,73.98,0.02666666666666667,0.03333333333333333,0.11333333333333333,1.1866666666666668,0.6766666666666667,48.473333333333336,0.42,5.027270392182027,84.65,Portugal 1.,71.43,80.54543111676743,580000.0,77.4908880050907
Vitória Guimarães,"CF, AMF, LCMF",8.1,2.55,28.85,4.5,0.1,0.16,1.62,39.39,6.061,1.52,32.26,1.28,38.46,4.22,2.7,0.59,0.2,34.91,80.03,0.19,0.39,0.29,5.7,2.45,48.0,0.83,15.16930688687747,53.69,Portugal 1.,71.43,51.08664142538976,580000.0,50.97797728285078
Vitória Guimarães,"CF, LAMF, LW",3.85,4.04,23.26,5.88,0.66,0.53,2.25,41.67,29.167,2.63,32.14,2.63,60.71,7.23,4.79,1.88,0.19,16.53,71.02,0.07,0.19,0.47,0.85,2.16,60.87,1.32,10.562821480348848,67.75,Portugal 1.,71.43,64.46489023226218,580000.0,63.018401209035964
Vélez Sarsfield,CF,3.99,5.22,32.35,1.51,0.31,0.27,2.07,25.93,14.815,0.38,20.0,2.07,33.33,8.06,2.15,0.46,0.08,13.59,71.75,0.01,0.08,0.08,0.84,0.92,58.33,0.46,6.6848827104572734,79.59,Argentina 1.,71.43,75.73078396436526,1400000.0,73.15770556792873
